Genetree,reference1,Mmi-a,Mmi-b,Han-a,Han-b,Sre-a,Sre-b,Cca-a,Cti-a,Eca-a,Cso-a
Asterales_Lsa_chr1_gene65,Lsa1g0065|XP_023762363|(3566156-3567895),none,Mmi5g0919|KAD6119543.1|(61047731-61048477),Han2g1382|XP_022016019|(112812006-112813834),none,none,Sre8g1451|Streb.8G014510.1|(37675890-37676929),Cca4g0320|XP_024972900|(11778373-11781249),Cti6g2408|CtAH06T0240800.1|(76068195-76073808),Eca7g1185|XP_043636007|(23576297-23577866),Cso2g1089|KAJ9560578.1|(20252805-20253666)
Asterales_Lsa_chr1_gene66,Lsa1g0066|XP_023762339|(3569896-3570786),none,Mmi5g0948|KAD6119572.1|(61669810-61673470),Han2g1381|XP_021993038|(112806812-112807912),none,none,Sre8g1452|Streb.8G014520.1|(37720738-37721886),Cca4g0322|XP_024971983|(11790598-11791500),Cti6g2407|CtAH06T0240700.1|(76058110-76060835),Eca7g1184|XP_043638117|(23565767-23566732),Cso2g1104|KAJ9560471.1|(20683749-20684672)
Asterales_Lsa_chr1_gene67,Lsa1g0067|XP_023762343|(3614724-3616022),Mmi12g0800|KAD4584747.1|(18613522-18614403),none,none,Han4g1353|XP_022024654|(67749189-67750362),Sre1g3141|Streb.1G031410.1|(109517011-109518195),none,Cca4g0323|XP_024973107|(11800641-11801808),none,Eca7g1183|XP_043638116|(23556953-23561130),Cso2g1105|KAJ9560472.1|(20688362-20688943)
Asterales_Lsa_chr1_gene68,Lsa1g0068|XP_023762342|(3618708-3620847),none,Mmi5g0918|KAD6119542.1|(61020942-61029608),Han2g1378|XP_022023224|(112554732-112562956),none,none,Sre8g1453|Streb.8G014530.1|(37875516-37881620),Cca4g0328|XP_024973258|(11834506-11837530),Cti6g3242|CtAH06T0324200.1|(92139478-92144030),Eca7g1182|XP_043638545|(23547297-23550377),Cso2g1107|KAJ9560467.1|(20710111-20710340)
Asterales_Lsa_chr1_gene69,Lsa1g0069|XP_023762341|(3625925-3627465),none,none,Han2g1377|XP_022023104|(112550353-112552548),none,none,Sre8g1454|Streb.8G014540.1|(37889368-37891506),Cca4g0327|XP_024973236|(11831280-11832400),none,Eca7g1180|XP_043638534|(23537953-23539396),Cso2g1108|KAJ9560469.1|(20723252-20723475)
Asterales_Lsa_chr1_gene70,Lsa1g0070|XP_023762340|(3637645-3638753),none,Mmi5g0917|KAD6119541.1|(61015674-61017082),Han2g1375|XP_022021875|(112454041-112455437),none,none,Sre8g1455|Streb.8G014550.1|(37895169-37896437),Cca4g0326|XP_024973455|(11823435-11825914),Cti6g3244|CtAH06T0324400.1|(92152274-92154817),Eca7g1179|XP_043635256|(23533275-23534759),Cso2g1109|KAJ9560468.1|(20728717-20728940)
Asterales_Lsa_chr1_gene71,Lsa1g0071|XP_023762361|(3643115-3644358),none,Mmi5g0916|KAD6119540.1|(61008181-61012602),none,none,Sre1g3142|Streb.1G031420.1|(109519574-109524020),Sre8g1457|Streb.8G014570.1|(38047020-38048837),Cca4g0328|XP_024973258|(11834506-11837530),Cti6g3246|CtAH06T0324600.1|(92167455-92170590),none,Cso2g1110|KAJ9560465.1|(20745701-20745954)
Asterales_Lsa_chr1_gene72,Lsa1g0072|XP_042751489|(3666019-3667241),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene73,Lsa1g0073|XP_023762360|(3672361-3673593),none,Mmi5g0915|KAD6119539.1|(60988253-60991818),Han2g1374|XP_022021698|(112263907-112266105),Han4g1343|XP_022038608|(66567103-66571420),none,none,Cca4g0325|XP_024973006|(11815294-11817685),none,Eca7g1178|XP_043637487|(23517565-23520329),Cso2g1080|KAJ9560559.1|(20149515-20149765)
Asterales_Lsa_chr1_gene74,Lsa1g0074|XP_042751517|(3709516-3713213),none,none,none,none,none,none,Cca4g0324|XP_024972889|(11804348-11808506),none,Eca7g1177|XP_043637359|(23511460-23515428),Cso2g1111|KAJ9560466.1|(20758243-20758448)
Asterales_Lsa_chr1_gene75,Lsa1g0075|XP_023762338|(3716555-3717389),none,none,Han2g1373|XP_022025402|(112224010-112226963),none,Sre2g5758|Streb.2G057580.1|(172923471-172926472),none,Cca4g0309|XP_024973219|(11624744-11628453),Cti6g3248|CtAH06T0324800.1|(92198262-92202387),Eca7g1176|XP_043637569|(23490242-23494862),Cso2g1112|KAJ9560473.1|(20782187-20782378)
Asterales_Lsa_chr1_gene76,Lsa1g0076|XP_023762358|(3743020-3743723),none,none,none,none,none,none,Cca4g0308|XP_024972774|(11618274-11618958),none,Eca7g1174|XP_043636841|(23441234-23441886),none
Asterales_Lsa_chr1_gene77,Lsa1g0077|XP_023762357|(3777858-3784497),none,Mmi5g0912|KAD6119536.1|(60931273-60937719),none,none,none,Sre8g1458|Streb.8G014580.1|(38149061-38156180),Cca4g0307|XP_024973069|(11594683-11612985),Cti6g3249|CtAH06T0324900.1|(92218063-92233792),Eca7g1171|XP_043637575|(23355015-23361935),Cso2g1113|KAJ9560475.1|(20819770-20819897)
Asterales_Lsa_chr1_gene78,Lsa1g0078|XP_023762354|(3792913-3796301),none,Mmi5g0911|KAD6119535.1|(60915645-60924662),Han2g1368|XP_022015030|(111997925-112004137),none,none,Sre8g1462|Streb.8G014620.1|(38296921-38302792),Cca4g0306|XP_024972917|(11573022-11585738),Cti6g3250|CtAH06T0325000.1|(92236757-92258465),Eca7g1170|XP_043636381|(23345307-23352561),Cso2g1114|KAJ9560474.1|(20822297-20822317)
Asterales_Lsa_chr1_gene79,Lsa1g0079|XP_023762353|(3797559-3803163),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene80,Lsa1g0080|XP_023762337|(3878379-3880386),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene81,Lsa1g0081|XP_023762352|(3893772-3894617),none,Mmi5g0910|KAD6119534.1|(60882535-60883026),Han2g1367|XP_022015947|(111803709-111804712),none,none,Sre8g1464|Streb.8G014640.1|(38439181-38440191),Cca4g0305|XP_024973037|(11559897-11560920),none,Eca7g1165|XP_043637633|(23273303-23274040),none
Asterales_Lsa_chr1_gene82,Lsa1g0082|XP_023762348|(3973674-3977572),none,Mmi5g0909|KAD6119533.1|(60825108-60830869),Han2g1364|XP_022015965|(111404642-111411169),Han4g1341|XP_022038606|(66495946-66501385),none,Sre8g1465|Streb.8G014650.1|(38654679-38660152),Cca4g0304|XP_024972360|(11522919-11530504),Cti6g3251|CtAH06T0325100.1|(92283128-92293152),Eca7g1163|XP_043635696|(23242299-23249193),Cso2g1116|KAJ9560492.1|(20908580-20908738)
